FID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,Pop25P_e18,Pop25P_m18,NoHS_e18,NoHS_m18,pNoHS_e18,pNoHS_m18,SomeHS_e18,SomeHS_m18,pSomeHS_e18,pSomeHS_m18,HSGrad_e18,HSGrad_m18,pHSGrad_e18,pHSGrad_m18,SomeColl_e18,SomeColl_m18,pSomeColl_e18,pSomeColl_m18,Associates_e18,Associates_m18,pAssociates_e18,pAssociates_m18,BA_e18,BA_m18,pBA_e18,pBA_m18,GradProf_e18,GradProf_m18,pGradProf_e18,pGradProf_m18,LtHS_e18,LtHS_m18,pLtHS_e18,pLtHS_m18,HSPlus_e18,HSPlus_m18,pHSPlus_e18,pHSPlus_m18,BAPlus_e18,BAPlus_m18,pBAPlus_e18,pBAPlus_m18,SHAPE_Length,SHAPE_Area
153,Southern Georgia,No,31750,3791,ZCTA,ZCTA5 31750,12264,289,619,168,5,1.4,1471,304,12,2.5,5296,416,43.2,3.2,2130,294,17.4,2.4,1098,231,9,1.9,1021,238,8.3,1.9,629,200,5.1,1.6,2090,347,17,2.8,10174,640,83,4.8,1650,311,13.5,2.5,1.7657567969121,0.0705966168026962
154,Central Savannah River Area,No,30442,3380,ZCTA,ZCTA5 30442,4934,427,370,133,7.5,2.6,697,229,14.1,4.5,1877,329,38,5.8,1166,274,23.6,5.2,339,134,6.9,2.6,262,135,5.3,2.7,223,126,4.5,2.5,1067,265,21.6,5,3867,485,78.4,7.1,485,185,9.8,3.6,1.86230981871557,0.0788967153314948
155,Southwest Georgia,No,31756,3792,ZCTA,ZCTA5 31756,499,204,28,48,5.6,9.3,19,46,3.8,9,186,93,37.3,10.7,140,95,28.1,15.2,110,92,22,16.1,0,18,0,3.7,16,38,3.2,7.6,47,66,9.4,12.7,452,167,90.6,50,16,43,3.2,8.4,0.614569775119931,0.00978543299167936
156,Heart of Georgia Altamaha,No,30445,3381,ZCTA,ZCTA5 30445,2569,236,173,79,6.7,3,364,108,14.2,4,985,150,38.3,4.7,528,123,20.6,4.4,236,91,9.2,3.4,180,74,7,2.8,103,58,4,2.2,537,134,20.9,4.8,2032,234,79.1,5.5,283,94,11,3.5,1.22433555237574,0.0203139252185449
157,Southwest Georgia,No,31757,3793,ZCTA,ZCTA5 31757,7321,496,228,108,3.1,1.5,726,202,9.9,2.7,2077,272,28.4,3.2,1612,277,22,3.5,533,154,7.3,2,907,189,12.4,2.4,1238,277,16.9,3.6,954,229,13,3,6367,536,87,4.3,2145,335,29.3,4.1,0.96323773212549,0.021151897560085
158,Coastal Regional Commission,No,30446,3382,ZCTA,ZCTA5 30446,764,167,53,47,6.9,6,85,46,11.1,5.6,411,119,53.8,10.2,148,66,19.4,7.5,16,14,2.1,1.8,40,25,5.2,3,11,25,1.4,3.2,138,66,18.1,7.7,626,141,81.9,4.5,51,35,6.7,4.4,1.12757510013772,0.0166230208028466
159,Southwest Georgia,No,31763,3794,ZCTA,ZCTA5 31763,15833,333,360,124,2.3,0.8,1253,250,7.9,1.6,4868,454,30.7,2.8,3730,443,23.6,2.8,1736,295,11,1.8,2200,329,13.9,2.1,1686,318,10.6,2,1613,279,10.2,1.7,14220,836,89.8,4.9,3886,458,24.5,2.8,1.86181081616068,0.0631607771763795
160,RV / SW,No,31764,3795,ZCTA,ZCTA5 31764,988,181,70,44,7.1,4.3,136,58,13.8,5.3,338,90,34.2,6.6,142,43,14.4,3.5,90,44,9.1,4.2,167,65,16.9,5.8,45,35,4.6,3.5,206,73,20.9,6.3,782,132,79.1,19.7,212,74,21.5,6.4,1.09721831647032,0.0196766461503531
161,Southwest Georgia,No,31765,3796,ZCTA,ZCTA5 31765,1967,321,150,78,7.6,3.7,268,109,13.6,5.1,654,128,33.2,3.6,533,200,27.1,9.2,187,89,9.5,4.3,80,42,4.1,2,95,65,4.8,3.2,418,134,21.3,5.9,1549,265,78.7,4.1,175,77,8.9,3.7,0.947346884130216,0.0209560855143867
162,Southwest Georgia,No,31768,3797,ZCTA,ZCTA5 31768,14680,723,1226,294,8.4,2,2813,441,19.2,2.8,5702,498,38.8,2.8,2300,363,15.7,2.4,526,164,3.6,1.1,1069,230,7.3,1.5,1044,231,7.1,1.5,4039,530,27.5,3.3,10641,716,72.5,3.3,2113,326,14.4,2.1,1.39579269026254,0.0378601628722223
163,Southwest Georgia,No,31771,3798,ZCTA,ZCTA5 31771,4138,633,487,169,11.8,3.7,761,200,18.4,3.9,1635,335,39.5,5.4,673,160,16.3,3,209,84,5.1,1.9,129,53,3.1,1.2,244,111,5.9,2.5,1248,262,30.2,4.3,2890,400,69.8,14.4,373,123,9,2.6,1.21663814975178,0.0269346631828231
164,Southwest Georgia,No,31772,3799,ZCTA,ZCTA5 31772,446,136,50,60,11.2,13.1,88,58,19.7,11.5,178,78,39.9,12.6,123,66,27.6,12.1,7,18,1.6,4.1,0,18,0,4.1,0,32,0,7.1,138,83,30.9,16.2,308,110,69.1,12.9,0,37,0,8.2,0.709768586973781,0.0158280034831
