FID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,Pop25P_e18,Pop25P_m18,NoHS_e18,NoHS_m18,pNoHS_e18,pNoHS_m18,SomeHS_e18,SomeHS_m18,pSomeHS_e18,pSomeHS_m18,HSGrad_e18,HSGrad_m18,pHSGrad_e18,pHSGrad_m18,SomeColl_e18,SomeColl_m18,pSomeColl_e18,pSomeColl_m18,Associates_e18,Associates_m18,pAssociates_e18,pAssociates_m18,BA_e18,BA_m18,pBA_e18,pBA_m18,GradProf_e18,GradProf_m18,pGradProf_e18,pGradProf_m18,LtHS_e18,LtHS_m18,pLtHS_e18,pLtHS_m18,HSPlus_e18,HSPlus_m18,pHSPlus_e18,pHSPlus_m18,BAPlus_e18,BAPlus_m18,pBAPlus_e18,pBAPlus_m18,SHAPE_Length,SHAPE_Area
177,Middle Georgia,No,31211,3655,ZCTA,ZCTA5 31211,10205,719,465,181,4.6,1.7,942,245,9.2,2.3,3675,451,36,3.6,2043,362,20,3.3,736,202,7.2,1.9,1363,281,13.4,2.6,981,270,9.6,2.6,1407,305,13.8,2.8,8798,726,86.2,3.7,2344,390,23,3.5,0.808930991246557,0.0123390988311811
178,Middle Georgia,No,31213,3656,ZCTA,ZCTA5 31213,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,0.00643369949341418,2.50832887851461e-06
179,Middle Georgia,No,31216,3657,ZCTA,ZCTA5 31216,12416,644,446,155,3.6,1.2,1319,260,10.6,2,4406,534,35.5,3.9,3128,392,25.2,2.9,766,180,6.2,1.4,1498,293,12.1,2.3,853,192,6.9,1.5,1765,303,14.2,2.3,10651,771,85.8,4.3,2351,350,18.9,2.6,0.844987917498533,0.0138509055065616
180,Middle Georgia,No,31217,3658,ZCTA,ZCTA5 31217,10969,791,663,168,6,1.5,1722,290,15.7,2.4,4654,452,42.4,2.8,2509,351,22.9,2.7,584,157,5.3,1.4,534,128,4.9,1.1,303,101,2.8,0.9,2385,335,21.7,2.6,8584,615,78.3,8,837,163,7.6,1.4,1.61204656634846,0.0249080383352198
181,Middle Georgia,No,31220,3659,ZCTA,ZCTA5 31220,10162,598,291,149,2.9,1.5,532,166,5.2,1.6,2835,421,27.9,3.8,2111,319,20.8,2.9,1061,261,10.4,2.5,2213,398,21.8,3.7,1119,226,11,2.1,823,223,8.1,2.1,9339,746,91.9,5,3332,458,32.8,4.1,0.788847903175055,0.0125063907398316
182,Coastal Regional Commission,No,31301,3660,ZCTA,ZCTA5 31301,2353,329,32,48,1.4,2,98,71,4.2,3,818,175,34.8,5.6,816,221,34.7,8,243,104,10.3,4.2,237,97,10.1,3.9,109,57,4.6,2.3,130,86,5.5,3.6,2223,321,94.5,3.4,346,112,14.7,4.3,0.435843946809033,0.00293320466422062
183,Coastal Regional Commission,No,31302,3661,ZCTA,ZCTA5 31302,5992,520,186,103,3.1,1.7,666,176,11.1,2.8,2652,341,44.3,4.2,1211,219,20.2,3.2,406,155,6.8,2.5,672,213,11.2,3.4,199,89,3.3,1.5,852,204,14.2,3.2,5140,491,85.8,3.4,871,231,14.5,3.6,0.85154448799963,0.0112280113040985
184,Coastal Regional Commission,No,31303,3662,ZCTA,ZCTA5 31303,1645,289,50,41,3,2.5,259,132,15.7,7.6,629,138,38.2,5.1,388,136,23.6,7.2,136,91,8.3,5.3,118,81,7.2,4.8,65,63,4,3.8,309,139,18.8,7.8,1336,238,81.2,2.3,183,103,11.1,6,0.938051347634407,0.0206264549143811
185,Coastal Regional Commission,No,31304,3663,ZCTA,ZCTA5 31304,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,0.152643785689661,0.000652561367612487
186,Northeast Georgia,No,30663,3495,ZCTA,ZCTA5 30663,2113,204,105,53,5,2.5,312,120,14.8,5.5,871,127,41.2,4.5,380,93,18,4,143,65,6.8,3,222,78,10.5,3.5,80,40,3.8,1.8,417,131,19.7,5.9,1696,192,80.3,4.7,302,87,14.3,3.9,0.984237868748298,0.0141330152774533
187,Coastal Regional Commission,No,31305,3664,ZCTA,ZCTA5 31305,4231,480,86,67,2,1.6,522,178,12.3,4,1785,348,42.2,6.7,936,266,22.1,5.8,361,156,8.5,3.6,253,103,6,2.3,288,131,6.8,3,608,190,14.4,4.2,3623,494,85.6,6.5,541,167,12.8,3.7,1.11407042530256,0.0113451111644997
188,Northwest Georgia,No,30726,3516,ZCTA,ZCTA5 30726,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,0.0443349133580034,3.36588067854543e-05
189,Coastal Regional Commission,No,31307,3665,ZCTA,ZCTA5 31307,635,337,100,95,15.7,12.5,192,181,30.2,23.6,233,125,36.7,2.9,12,29,1.9,4.5,0,18,0,2.9,24,28,3.8,3.9,74,74,11.7,9.8,292,205,46,21.1,343,152,54,37.3,98,79,15.4,9.3,0.204746521192139,0.000983104681746986
190,Northwest Georgia,No,30728,3517,ZCTA,ZCTA5 30728,14194,737,764,199,5.4,1.4,1940,326,13.7,2.2,5515,480,38.9,2.7,3003,399,21.2,2.6,1229,277,8.7,1.9,1090,256,7.7,1.8,653,194,4.6,1.3,2704,382,19.1,2.5,11490,754,80.9,3.3,1743,321,12.3,2.2,1.76105372568209,0.0443146556553713
191,Northwest Georgia,No,30730,3518,ZCTA,ZCTA5 30730,1285,167,153,76,11.9,5.7,216,75,16.8,5.4,421,94,32.8,6,259,80,20.2,5.7,41,22,3.2,1.7,134,55,10.4,4,61,56,4.7,4.3,369,107,28.7,7.4,916,148,71.3,6.8,195,78,15.2,5.7,0.634240204752651,0.0140600569763868
192,Coastal Regional Commission,No,31308,3666,ZCTA,ZCTA5 31308,4889,520,374,142,7.6,2.8,621,195,12.7,3.8,2004,348,41,5.6,858,194,17.5,3.5,522,158,10.7,3,234,103,4.8,2,276,104,5.6,2,995,241,20.4,4.4,3894,453,79.6,3.7,510,146,10.4,2.8,1.16251309282394,0.0215014882609404
193,Northwest Georgia,No,30731,3519,ZCTA,ZCTA5 30731,1613,267,134,77,8.3,4.6,131,50,8.1,2.8,630,146,39.1,6.3,378,118,23.4,6.2,115,65,7.1,3.9,96,52,6,3.1,129,55,8,3.1,265,92,16.4,5,1348,213,83.6,19.1,225,76,13.9,4.1,1.13521965960724,0.0220959097239874
194,Coastal Regional Commission,No,31309,3667,ZCTA,ZCTA5 31309,664,183,22,40,3.3,5.9,68,69,10.2,10,431,137,64.9,10.1,94,53,14.2,7,12,20,1.8,2.9,37,36,5.6,5.3,0,32,0,4.8,90,79,13.6,11.3,574,156,86.4,33.4,37,48,5.6,7.1,0.410338131056446,0.00643747263387908
195,Northwest Georgia,No,30733,3520,ZCTA,ZCTA5 30733,1314,243,164,85,12.5,6,201,82,15.3,5.6,425,139,32.3,8.7,366,126,27.9,8.1,50,29,3.8,2.1,52,37,4,2.7,56,46,4.3,3.4,365,118,27.8,7.4,949,199,72.2,7.1,108,59,8.2,4.2,0.350061470773564,0.00392011605443604
196,Northwest Georgia,No,30734,3521,ZCTA,ZCTA5 30734,2553,467,114,76,4.5,2.9,433,165,17,5.6,985,250,38.6,6.8,498,170,19.5,5.6,154,87,6,3.2,218,117,8.5,4.3,151,86,5.9,3.2,547,181,21.4,5.9,2006,347,78.6,19.8,369,145,14.5,5,1.0683389849625,0.0194725018155871
197,Northwest Georgia,No,30735,3522,ZCTA,ZCTA5 30735,4272,590,222,101,5.2,2.3,595,193,13.9,4.1,1987,331,46.5,4.3,776,223,18.2,4.6,306,130,7.2,2.9,248,201,5.8,4.6,138,100,3.2,2.3,817,218,19.1,4.4,3455,476,80.9,15.8,386,225,9,5.1,1.10181254069598,0.0159964791907316
198,Northwest Georgia,No,30736,3523,ZCTA,ZCTA5 30736,29203,805,502,155,1.7,0.5,2577,430,8.8,1.5,8504,615,29.1,1.9,7198,652,24.6,2.1,3081,418,10.6,1.4,4809,477,16.5,1.6,2532,343,8.7,1.2,3079,457,10.5,1.5,26124,1150,89.5,3.1,7341,588,25.1,1.9,1.2298429748372,0.0329034619860505
199,Northwest Georgia,No,30738,3524,ZCTA,ZCTA5 30738,2819,329,92,57,3.3,2,463,128,16.4,4.1,1028,190,36.5,5.2,547,126,19.4,3.9,269,107,9.5,3.6,323,104,11.5,3.4,97,49,3.4,1.7,555,140,19.7,4.4,2264,277,80.3,3,420,115,14.9,3.7,1.22624728844334,0.0219815051478925
200,Northwest Georgia,No,30739,3525,ZCTA,ZCTA5 30739,4549,352,82,71,1.8,1.6,403,132,8.9,2.8,1450,263,31.9,5.2,1140,231,25.1,4.7,498,163,10.9,3.5,590,166,13,3.5,386,146,8.5,3.2,485,150,10.7,3.2,4064,446,89.3,6.9,976,221,21.5,4.6,0.66246303332333,0.00641268059323246
201,Northwest Georgia,No,30740,3526,ZCTA,ZCTA5 30740,5989,473,261,106,4.4,1.7,747,226,12.5,3.6,2033,324,33.9,4.7,1444,240,24.1,3.5,351,123,5.9,2,833,182,13.9,2.8,320,125,5.3,2,1008,249,16.8,3.9,4981,476,83.2,4.5,1153,221,19.3,3.4,0.695651441924841,0.0129880116178554
202,Northwest Georgia,No,30741,3527,ZCTA,ZCTA5 30741,20245,1039,1329,351,6.6,1.7,2888,456,14.3,2.1,7882,775,38.9,3.3,4555,530,22.5,2.3,1295,279,6.4,1.3,1777,361,8.8,1.7,519,133,2.6,0.6,4217,576,20.8,2.6,16028,1052,79.2,3.2,2296,384,11.3,1.8,0.695983535729553,0.00637199752722858
203,Northwest Georgia,No,30742,3528,ZCTA,ZCTA5 30742,5485,476,193,97,3.5,1.7,504,199,9.2,3.5,1986,389,36.2,6.4,1450,315,26.4,5.3,681,249,12.4,4.4,414,128,7.5,2.2,257,142,4.7,2.6,697,221,12.7,3.9,4788,591,87.3,7.7,671,191,12.2,3.3,0.246364607843801,0.000856110412321891
204,Northwest Georgia,No,30746,3529,ZCTA,ZCTA5 30746,675,205,16,43,2.4,6.3,125,79,18.5,10.3,347,126,51.4,10.3,72,62,10.7,8.6,95,71,14.1,9.6,20,35,3,5,0,32,0,4.7,141,90,20.9,11.7,534,164,79.1,4,20,47,3,6.9,0.393796086664572,0.00424803885360491
205,Northwest Georgia,No,30747,3530,ZCTA,ZCTA5 30747,10913,438,1064,204,9.7,1.8,1776,275,16.3,2.4,4214,363,38.6,2.9,1916,261,17.6,2.3,786,182,7.2,1.6,684,150,6.3,1.4,473,124,4.3,1.1,2840,343,26,3,8073,520,74,3.7,1157,195,10.6,1.7,1.88215558718894,0.0465832891320938
206,Northwest Georgia,No,30750,3531,ZCTA,ZCTA5 30750,2421,257,101,59,4.2,2.4,112,73,4.6,3,486,125,20.1,4.7,280,95,11.6,3.7,179,66,7.4,2.6,777,88,32.1,1.3,486,88,20.1,2.9,213,94,8.8,3.8,2208,211,91.2,13,1263,124,52.2,7.6,0.40695765582509,0.0033719267472901
207,Northwest Georgia,No,30751,3532,ZCTA,ZCTA5 30751,40,50,0,37,0,91.9,17,44,42.5,95.5,6,16,15,36.5,17,27,42.5,42.3,0,18,0,46,0,18,0,46,0,32,0,79.6,17,57,42.5,132.6,23,52,57.5,108.1,0,37,0,91.9,0.0766776092956418,0.000145337807455556
208,Northwest Georgia,No,30752,3533,ZCTA,ZCTA5 30752,6167,328,499,136,8.1,2.2,798,176,12.9,2.8,2338,259,37.9,3.7,1255,200,20.4,3.1,601,136,9.7,2.2,417,130,6.8,2.1,259,96,4.2,1.5,1297,222,21,3.4,4870,390,79,4.7,676,161,11,2.5,0.791192174079166,0.0199247889174629
209,Northwest Georgia,No,30753,3534,ZCTA,ZCTA5 30753,4843,461,539,156,11.1,3,777,191,16,3.6,1847,295,38.1,4.9,1049,231,21.7,4.3,214,112,4.4,2.3,250,100,5.2,2,167,75,3.4,1.5,1316,247,27.2,4.4,3527,411,72.8,4.9,417,125,8.6,2.4,0.728980025892582,0.0104254538265252
210,Northwest Georgia,No,30755,3535,ZCTA,ZCTA5 30755,6075,506,485,161,8,2.6,913,208,15,3.2,2208,307,36.3,4.1,1510,289,24.9,4.3,228,82,3.8,1.3,474,128,7.8,2,257,100,4.2,1.6,1398,263,23,3.9,4677,460,77,4,731,162,12,2.5,0.613743491914641,0.0091075269029558
211,Northwest Georgia,No,30756,3536,ZCTA,ZCTA5 30756,20,16,0,37,0,183.8,5,35,25,175.4,15,18,75,69.6,0,26,0,130,0,18,0,91.9,0,18,0,91.9,0,32,0,159.2,5,51,25,254.1,15,52,75,253,0,37,0,183.8,0.0556974199831084,3.45393232544302e-05
212,Northwest Georgia,No,30757,3537,ZCTA,ZCTA5 30757,1619,282,163,99,10.1,5.8,341,173,21.1,10,396,149,24.5,8.1,172,95,10.6,5.6,223,120,13.8,7,265,184,16.4,11,59,62,3.6,3.8,504,199,31.1,11.1,1115,289,68.9,13.2,324,194,20,11.5,0.495394990113525,0.00438975771880717
213,Central Savannah River Area,No,30802,3538,ZCTA,ZCTA5 30802,4079,502,96,83,2.4,2,495,235,12.1,5.6,1584,332,38.8,6.6,722,189,17.7,4.1,308,124,7.6,2.9,566,146,13.9,3.2,308,131,7.6,3.1,591,249,14.5,5.8,3488,447,85.5,3.1,874,196,21.4,4,1.1860562341584,0.0372132435673637
214,Central Savannah River Area,No,30803,3539,ZCTA,ZCTA5 30803,637,154,18,32,2.8,4.9,66,31,10.4,4.3,346,92,54.3,6.1,131,36,20.6,2.7,33,19,5.2,2.8,29,16,4.6,2.2,14,33,2.2,5.2,84,45,13.2,6.3,553,107,86.8,26.9,43,37,6.8,5.5,0.828056381505412,0.0138552176863383
215,Central Savannah River Area,No,30805,3540,ZCTA,ZCTA5 30805,1718,245,130,60,7.6,3.3,241,87,14,4.6,664,143,38.6,6.2,366,127,21.3,6.7,131,67,7.6,3.8,140,58,8.1,3.2,46,33,2.7,1.9,371,106,21.6,5.3,1347,213,78.4,5.4,186,67,10.8,3.6,0.960878624142498,0.00888551620315094
216,Atlanta Regional Commission,Yes,30294,3316,ZCTA,ZCTA5 30294,28614,1446,766,256,2.7,0.9,1856,372,6.5,1.3,8179,805,28.6,2.4,7364,811,25.7,2.5,2516,435,8.8,1.5,5135,636,17.9,2,2798,439,9.8,1.5,2622,452,9.2,1.5,25992,1447,90.8,2.1,7933,773,27.7,2.3,0.867119344865509,0.00821639193074535
217,Three Rivers,No,30295,3317,ZCTA,ZCTA5 30295,2955,354,66,47,2.2,1.6,284,122,9.6,4,1389,296,47,8.3,608,153,20.6,4.6,231,103,7.8,3.3,183,81,6.2,2.6,194,84,6.6,2.7,350,131,11.8,4.2,2605,367,88.2,6.6,377,116,12.8,3.6,0.747894339790017,0.0111286641475766
218,Atlanta Regional Commission,Yes,30296,3318,ZCTA,ZCTA5 30296,18057,964,1028,245,5.7,1.3,1158,263,6.4,1.4,5907,636,32.7,3.1,4001,529,22.2,2.7,1980,344,11,1.8,2777,440,15.4,2.3,1206,249,6.7,1.3,2186,359,12.1,1.9,15871,1029,87.9,3.2,3983,506,22.1,2.5,0.363015662719762,0.00267426577567971
219,Southwest Georgia,No,39866,3877,ZCTA,ZCTA5 39866,1932,157,156,68,8.1,3.4,427,92,22.1,4.4,900,131,46.6,5.6,303,79,15.7,3.9,83,37,4.3,1.9,30,21,1.6,1.1,33,30,1.7,1.6,583,114,30.2,5.4,1349,161,69.8,6.1,63,37,3.3,1.9,0.907555715765943,0.0139849736449794
220,Atlanta Regional Commission,Yes,30297,3319,ZCTA,ZCTA5 30297,16587,702,2243,360,13.5,2.1,2615,372,15.8,2.1,5690,550,34.3,3,3282,475,19.8,2.7,1134,240,6.8,1.4,1322,289,8,1.7,301,132,1.8,0.8,4858,518,29.3,2.9,11729,829,70.7,4,1623,317,9.8,1.9,0.389597307723212,0.00277675461523028
221,River Valley,No,39867,3878,ZCTA,ZCTA5 39867,383,154,39,49,10.2,12,40,47,10.4,11.4,180,99,47,17.6,48,37,12.5,8.3,21,19,5.5,4.4,43,53,11.2,13.2,12,35,3.1,9,79,67,20.6,15.5,304,125,79.4,6.5,55,64,14.4,15.6,1.3166766089094,0.0215101532853015
222,Atlanta Regional Commission,Yes,30303,3320,ZCTA,ZCTA5 30303,2723,450,50,65,1.8,2.4,359,127,13.2,4.1,825,197,30.3,5.2,589,145,21.6,3.9,226,107,8.3,3.7,471,125,17.3,3.6,203,88,7.5,3,409,143,15,4.6,2314,307,85,18,674,153,24.8,3.8,0.11144421545236,0.000263003646646765
223,Atlanta Regional Commission,Yes,30305,3321,ZCTA,ZCTA5 30305,17795,750,255,144,1.4,0.8,200,109,1.1,0.6,1209,295,6.8,1.6,1865,330,10.5,1.8,385,142,2.2,0.8,7734,573,43.5,2.7,6147,572,34.5,2.9,455,181,2.6,1,17340,934,97.4,3.3,13881,810,78,3.1,0.257421959588469,0.00163108248217023
224,Atlanta Regional Commission,Yes,30306,3322,ZCTA,ZCTA5 30306,17939,700,125,86,0.7,0.5,278,143,1.5,0.8,1204,233,6.7,1.3,1193,260,6.7,1.4,478,139,2.7,0.8,7348,507,41,2.3,7313,501,40.8,2.3,403,167,2.2,0.9,17536,806,97.8,2.4,14661,713,81.7,2.4,0.204810412043956,0.00110569752313064
225,Southwest Georgia,No,39870,3879,ZCTA,ZCTA5 39870,1379,137,91,46,6.6,3.3,187,68,13.6,4.8,569,120,41.3,7.7,246,84,17.8,5.8,124,60,9,4.3,99,47,7.2,3.3,63,49,4.6,3.5,278,82,20.2,5.6,1101,172,79.8,9.7,162,68,11.7,4.8,1.59343986069283,0.0464932492269737
226,GM / NE,No,30530,3424,ZCTA,ZCTA5 30530,4426,484,215,92,4.9,2,838,238,18.9,5,1729,270,39.1,4.3,695,168,15.7,3.4,350,125,7.9,2.7,257,88,5.8,1.9,342,122,7.7,2.6,1053,255,23.8,5.1,3373,373,76.2,1.2,599,150,13.5,3.1,1.08301296523797,0.0200137000003818
227,Atlanta Regional Commission,Yes,30307,3323,ZCTA,ZCTA5 30307,14801,564,120,66,0.8,0.4,216,94,1.5,0.6,1257,281,8.5,1.9,1645,252,11.1,1.6,351,108,2.4,0.7,5374,372,36.3,2.1,5838,386,39.4,2.1,336,114,2.3,0.8,14465,664,97.7,2.5,11212,536,75.8,2.2,0.279496465863105,0.00115196942796036
228,RV / SW,No,39877,3880,ZCTA,ZCTA5 39877,276,92,22,32,8,11.1,52,35,18.8,11.1,110,45,39.9,9.2,38,18,13.8,4.7,6,15,2.2,5.3,38,27,13.8,8.6,10,21,3.6,7.7,74,47,26.8,14.6,202,61,73.2,32.9,48,34,17.4,11,0.77778074214711,0.0101613121158059
229,Georgia Mountains,Partial,30531,3425,ZCTA,ZCTA5 30531,6756,505,968,227,14.3,3.2,848,230,12.6,3.3,2156,355,31.9,4.7,1266,259,18.7,3.6,449,148,6.6,2.1,614,146,9.1,2.1,455,128,6.7,1.8,1816,323,26.9,4.3,4940,502,73.1,5,1069,194,15.8,2.6,0.836794531853571,0.00983413777574564
230,Atlanta Regional Commission,Yes,30308,3324,ZCTA,ZCTA5 30308,14875,724,273,180,1.8,1.2,578,206,3.9,1.4,1160,331,7.8,2.2,2109,409,14.2,2.7,568,210,3.8,1.4,5164,462,34.7,2.6,5023,506,33.8,3,851,274,5.7,1.8,14024,890,94.3,3.8,10187,686,68.5,3.2,0.127978759896048,0.000401959606737856
231,Southwest Georgia,No,39885,3881,ZCTA,ZCTA5 39885,60,26,3,35,5,58.5,4,35,6.7,58.1,11,10,18.3,15.2,25,13,41.7,12.7,7,6,11.7,9.2,5,15,8.3,24.3,5,30,8.3,49.7,7,50,11.7,82.4,53,38,88.3,50.2,10,33,16.7,55.1,0.0433909631894513,7.32334551143999e-05
232,Georgia Mountains,Partial,30533,3426,ZCTA,ZCTA5 30533,16625,524,786,223,4.7,1.3,1700,375,10.2,2.2,4746,542,28.5,3.1,3556,444,21.4,2.6,1009,264,6.1,1.6,2706,396,16.3,2.3,2122,359,12.8,2.1,2486,437,15,2.6,14139,920,85,4.8,4828,535,29,3.1,1.54024885335078,0.0559842182343372
233,Atlanta Regional Commission,Yes,30309,3325,ZCTA,ZCTA5 30309,19848,1016,70,73,0.4,0.4,272,123,1.4,0.6,1280,291,6.4,1.4,1965,375,9.9,1.8,901,260,4.5,1.3,7696,694,38.8,2.9,7664,638,38.6,2.5,342,143,1.7,0.7,19506,1087,98.3,2.2,15360,943,77.4,2.6,0.190999250070473,0.000871039449016405
234,Atlanta Regional Commission,Yes,30002,3149,ZCTA,ZCTA5 30002,4293,326,76,73,1.8,1.7,108,65,2.5,1.5,657,156,15.3,3.5,799,177,18.6,3.9,226,80,5.3,1.8,1201,153,28,2.9,1226,168,28.6,3.3,184,98,4.3,2.3,4109,337,95.7,3,2427,227,56.5,3.1,0.166664373856407,0.000429655889631646
235,RV / SW,No,39886,3882,ZCTA,ZCTA5 39886,1205,185,107,59,8.9,4.7,178,68,14.8,5.1,427,116,35.4,7.9,277,72,23,4.8,80,39,6.6,3,109,50,9,3.9,27,28,2.2,2.3,285,90,23.7,6.5,920,153,76.3,4.8,136,58,11.3,4.5,1.38820919984757,0.0304921665624265
236,ARC / GM / NW,Partial,30534,3427,ZCTA,ZCTA5 30534,20204,571,769,246,3.8,1.2,2472,424,12.2,2.1,5846,545,28.9,2.6,4121,456,20.4,2.2,1535,276,7.6,1.3,3484,415,17.2,2,1977,334,9.8,1.6,3241,490,16,2.4,16963,930,84,3.9,5461,533,27,2.5,2.03200324098394,0.0593371533147432
237,Atlanta Regional Commission,Yes,30310,3326,ZCTA,ZCTA5 30310,19608,825,875,190,4.5,1,2620,363,13.4,1.8,5834,520,29.8,2.3,4463,444,22.8,2.1,1513,273,7.7,1.4,2726,301,13.9,1.4,1577,220,8,1.1,3495,410,17.8,2,16113,825,82.2,2.4,4303,373,21.9,1.7,0.316329655710007,0.00222415865990271
238,ARC / GM,Yes,30004,3150,ZCTA,ZCTA5 30004,42058,1167,1441,444,3.4,1.1,685,206,1.6,0.5,4702,624,11.2,1.4,5889,705,14,1.6,2414,431,5.7,1,16480,981,39.2,2.1,10447,903,24.8,2,2126,490,5.1,1.2,39932,1688,94.9,3,26927,1334,64,2.6,1.06376386387621,0.0147141286538551
239,Georgia Mountains,No,30535,3428,ZCTA,ZCTA5 30535,4898,442,345,175,7,3.5,639,202,13,4,1655,245,33.8,4,1023,217,20.9,4,346,107,7.1,2.1,484,117,9.9,2.2,406,97,8.3,1.8,984,267,20.1,5.1,3914,376,79.9,2.6,890,152,18.2,2.6,0.537995991896593,0.00750651653055286
240,Atlanta Regional Commission,Yes,30311,3327,ZCTA,ZCTA5 30311,25127,1269,929,261,3.7,1,2939,468,11.7,1.8,9321,1031,37.1,3.7,5246,660,20.9,2.4,1641,391,6.5,1.5,2923,469,11.6,1.8,2128,335,8.5,1.3,3868,536,15.4,2,21259,1408,84.6,3.6,5051,576,20.1,2.1,0.310940472255489,0.00314076592886506
241,ARC / GM,Yes,30005,3151,ZCTA,ZCTA5 30005,25665,935,431,177,1.7,0.7,564,189,2.2,0.7,2350,417,9.2,1.6,2874,421,11.2,1.6,1258,269,4.9,1,10335,657,40.3,2.1,7853,709,30.6,2.5,995,259,3.9,1,24670,1165,96.1,2.9,18188,967,70.9,2.7,0.47801605238315,0.00376148181421893
242,Northwest Georgia,No,30536,3429,ZCTA,ZCTA5 30536,6003,397,296,104,4.9,1.7,527,165,8.8,2.7,2406,276,40.1,3.8,976,188,16.3,2.9,473,116,7.9,1.9,778,188,13,3,547,137,9.1,2.2,823,196,13.7,3.1,5180,423,86.3,4.1,1325,233,22.1,3.6,1.28359156241362,0.0393231480715037
243,Atlanta Regional Commission,Yes,30312,3328,ZCTA,ZCTA5 30312,16480,715,464,158,2.8,1,868,235,5.3,1.4,2647,441,16.1,2.6,2669,360,16.2,2.1,989,225,6,1.3,4896,420,29.7,2.2,3947,360,24,1.9,1332,284,8.1,1.7,15148,825,91.9,3,8843,553,53.7,2.4,0.25688053312734,0.000845170744880913
244,Atlanta Regional Commission,Yes,30008,3152,ZCTA,ZCTA5 30008,20258,973,2449,467,12.1,2.2,1740,334,8.6,1.6,5457,567,26.9,2.5,4767,573,23.5,2.6,1603,316,7.9,1.5,2793,381,13.8,1.8,1449,302,7.2,1.5,4189,575,20.7,2.7,16069,993,79.3,3.1,4242,487,20.9,2.2,0.431620413295226,0.00238981656013112
245,Southwest Georgia,No,39897,3883,ZCTA,ZCTA5 39897,2791,318,187,82,6.7,2.8,319,109,11.4,3.7,1179,195,42.2,5,697,176,25,5.6,134,61,4.8,2.1,155,62,5.6,2.1,120,56,4.3,1.9,506,136,18.1,4.4,2285,282,81.9,3.9,275,84,9.9,2.8,1.16198708605479,0.0349736463232563
246,Georgia Mountains,No,30537,3430,ZCTA,ZCTA5 30537,1070,191,23,28,2.1,2.6,30,24,2.8,2.2,386,114,36.1,8.5,162,48,15.1,3.6,105,47,9.8,4.1,229,62,21.4,4.4,135,50,12.6,4.1,53,37,5,3.3,1017,155,95,22.3,364,80,34,4.3,0.69456446502138,0.00518961993944896
247,Atlanta Regional Commission,Yes,30313,3329,ZCTA,ZCTA5 30313,3532,327,67,67,1.9,1.9,214,85,6.1,2.3,890,197,25.2,5.1,725,165,20.5,4.3,315,119,8.9,3.3,740,149,21,3.8,581,133,16.4,3.4,281,108,8,3,3251,347,92,4.9,1321,200,37.4,4.5,0.135937303126751,0.000279695892000453
248,Atlanta Regional Commission,Yes,30009,3153,ZCTA,ZCTA5 30009,11116,759,211,126,1.9,1.1,229,145,2.1,1.3,1292,254,11.6,2.1,2204,405,19.8,3.4,590,172,5.3,1.5,4136,421,37.2,2.8,2454,382,22.1,3.1,440,192,4,1.7,10676,763,96,2,6590,569,59.3,3.1,0.512043003614625,0.00244728467842843
249,Georgia Mountains,No,30538,3431,ZCTA,ZCTA5 30538,2087,367,51,56,2.4,2.6,150,88,7.2,4,1040,256,49.8,8.6,446,179,21.4,7.7,119,90,5.7,4.2,224,144,10.7,6.6,57,65,2.7,3.1,201,104,9.6,4.7,1886,361,90.4,6.9,281,158,13.5,7.2,0.563944853599235,0.00653877246328546
250,Atlanta Regional Commission,Yes,30314,3330,ZCTA,ZCTA5 30314,12437,646,544,143,4.4,1.1,1539,255,12.4,1.9,4197,417,33.7,2.9,2892,315,23.3,2.2,750,178,6,1.4,1621,236,13,1.8,894,148,7.2,1.1,2083,292,16.7,2.2,10354,619,83.3,2.5,2515,279,20.2,2,0.232098731680559,0.00116709316280808
251,ARC / NE,Yes,30011,3154,ZCTA,ZCTA5 30011,9845,580,412,104,4.2,1,1088,207,11.1,2,3078,320,31.3,2.7,2390,300,24.3,2.7,804,176,8.2,1.7,1578,321,16,3.1,495,155,5,1.5,1500,232,15.2,2.2,8345,592,84.8,3.3,2073,357,21.1,3.4,0.602927779012402,0.00677199481878922
252,Northwest Georgia,No,30540,3432,ZCTA,ZCTA5 30540,14224,489,1344,307,9.4,2.1,1588,327,11.2,2.3,4943,495,34.8,3.3,2816,408,19.8,2.8,873,230,6.1,1.6,1659,292,11.7,2,1001,223,7,1.5,2932,449,20.6,3.1,11292,774,79.4,4.7,2660,367,18.7,2.5,1.26613155701958,0.0511935463733129
253,Atlanta Regional Commission,Yes,30315,3331,ZCTA,ZCTA5 30315,22897,986,1120,204,4.9,0.9,3377,412,14.7,1.7,7764,684,33.9,2.6,4965,486,21.7,1.9,1210,217,5.3,0.9,2971,362,13,1.5,1490,214,6.5,0.9,4497,460,19.6,1.8,18400,964,80.4,2.4,4461,421,19.5,1.6,0.322561983195085,0.0028545960436038
