FID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,TotalHH_e18,TotalHH_m18,HHIncLt10k_e18,HHIncLt10k_m18,pHHIncLt10k_e18,pHHIncLt10k_m18,HHInc10_15k_e18,HHInc10_15k_m18,pHHInc10_15k_e18,pHHInc10_15k_m18,HHInc15_25k_e18,HHInc15_25k_m18,pHHInc15_25k_e18,pHHInc15_25k_m18,HHInc25_35k_e18,HHInc25_35k_m18,pHHInc25_35k_e18,pHHInc25_35k_m18,HHInc35_50k_e18,HHInc35_50k_m18,pHHInc35_50k_e18,pHHInc35_50k_m18,HHInc50_75k_e18,HHInc50_75k_m18,pHHInc50_75k_e18,pHHInc50_75k_m18,HHInc75_100k_e18,HHInc75_100k_m18,pHHInc75_100k_e18,pHHInc75_100k_m18,HHInc100_150k_e18,HHInc100_150k_m18,pHHInc100_150k_e18,pHHInc100_150k_m18,HHInc150_200k_e18,HHInc150_200k_m18,pHHInc150_200k_e18,pHHInc150_200k_m18,HHInc200kP_e18,HHInc200kP_m18,pHHInc200kP_e18,pHHInc200kP_m18,HHIncLt35k_e18,HHIncLt35k_m18,pHHIncLt35k_e18,pHHIncLt35k_m18,HHInc35_75k_e18,HHInc35_75k_m18,pHHInc35_75k_e18,pHHInc35_75k_m18,HHInc75_200k_e18,HHInc75_200k_m18,pHHInc75_200k_e18,pHHInc75_200k_m18,mMedHHInc_e18,mMedHHInc_m18,tAggregateHHInc_e18,tAggregateHHInc_m18,aMeanHHIncome_e18,aMeanHHIncome_m18,HHwEarnings_e18,HHwEarnings_m18,pHHwEarnings_e18,pHHwEarnings_m18,aHHMeanEarnings_e18,aHHMeanEarnings_m18,HHSocSec_e18,HHSocSec_m18,pHHSocSec_e18,pHHSocSec_m18,aMeanSocSec_e18,aMeanSocSec_m18,HHRetirement_e18,HHRetirement_m18,pHHRetirement_e18,pHHRetirement_m18,aMeanRetirement_e18,aMeanRetirement_m18,HHSSI_e18,HHSSI_m18,pHHSSI_e18,pHHSSI_m18,aMeanSSI_e18,aMeanSSI_m18,HHPubAsst_e18,HHPubAsst_m18,pHHPubAsst_e18,pHHPubAsst_m18,aMeanPubAsst_e18,aMeanPubAsst_m18,HHFs_e18,HHFs_m18,pHHFs_e18,pHHFs_m18,TotPop_e18,TotPop_m18,rPerCapitaInc_e18,rPerCapitaInc_m18,SHAPE_Length,SHAPE_Area
13,Atlanta Regional Commission,Yes,NPUM,3033,NPU,NPU M,13773,377,2070,281,15,2,890,230,6.5,1.7,1263,256,9.2,1.8,1019,247,7.4,1.8,1616,292,11.7,2.1,2302,304,16.7,2.2,1431,242,10.4,1.7,1703,252,12.4,1.8,669,154,4.9,1.1,810,168,5.9,1.2,5241,508,38.1,3.5,3918,422,28.4,3,3804,382,27.6,2.7,50242,1874,969100450,59359146,70364,3857,10865,436,78.9,2.3,81059,4381,2280,298,16.6,2.1,12135,1038,1223,265,8.9,1.9,23064,4481,568,168,4.1,1.2,6195,1242,232,112,1.7,0.8,1807,1044,1984,311,14.4,2.2,31369,1198,33691,1557,0.135358977852662,0.000953988990335893
14,Atlanta Regional Commission,Yes,NPUN,3034,NPU,NPU N,9605,270,430,132,4.5,1.4,194,89,2,0.9,350,117,3.6,1.2,505,147,5.3,1.5,983,199,10.2,2,1323,215,13.8,2.2,1271,192,13.2,2,1943,248,20.2,2.5,907,146,9.4,1.5,1699,193,17.7,1.9,1479,246,15.4,2.5,2307,293,24,3,4121,346,42.9,3.4,95001,3826,1256955179,72647297,130858,6607,8693,296,90.5,1.7,132820,6850,1218,155,12.7,1.6,20709,1208,825,140,8.6,1.4,41342,7572,152,83,1.6,0.9,7447,4201,42,38,0.4,0.4,621,565,217,107,2.3,1.1,19902,712,65093.3,2870.9,0.183966157098693,0.00086022630867794
15,Atlanta Regional Commission,Yes,NPUO,3035,NPU,NPU O,6731,260,734,176,10.9,2.6,477,151,7.1,2.2,613,167,9.1,2.5,409,127,6.1,1.9,563,149,8.4,2.2,907,182,13.5,2.7,756,167,11.2,2.4,1011,180,15,2.6,579,113,8.6,1.6,682,143,10.1,2.1,2232,313,33.2,4.5,1470,235,21.8,3.4,2346,270,34.9,3.8,65281,4694,604971147,48459492,89877,6308,5288,278,78.6,2.8,101157,6999,1544,174,22.9,2.4,14898,261,890,176,13.2,2.6,22905,4127,271,93,4,1.4,7076,1201,28,37,0.4,0.6,712,1433,1266,219,18.8,3.2,15793,833,40363.9,2434,0.243043714694045,0.00087451046340959
16,Atlanta Regional Commission,Yes,NPUW,3042,NPU,NPU W,9404,319,545,161,5.8,1.7,229,98,2.4,1,522,152,5.6,1.6,730,220,7.8,2.3,921,223,9.8,2.3,1313,295,14,3.1,1229,230,13.1,2.4,1615,265,17.2,2.8,1275,219,13.6,2.3,1025,190,10.9,2,2027,327,21.6,3.4,2233,369,23.7,3.8,4119,414,43.8,4.1,83991,3915,978833838,58320353,104083,5096,8128,340,86.4,2.1,110140,5294,1468,226,15.6,2.3,15666,1811,791,174,8.4,1.8,25452,5766,374,117,4,1.2,6757,1727,99,66,1.1,0.7,1302,720,656,166,7,1.8,21791,978,47663.2,2104.9,0.229846791142541,0.00133504950225014
17,Atlanta Regional Commission,Yes,NPUV,3041,NPU,NPU V,6244,246,1153,192,18.5,3,750,179,12,2.8,1154,212,18.5,3.3,774,168,12.4,2.6,786,166,12.6,2.6,700,162,11.2,2.6,324,90,5.2,1.4,241,78,3.9,1.2,196,79,3.1,1.3,166,67,2.7,1.1,3831,377,61.4,5.5,1485,232,23.8,3.6,761,143,12.2,2.2,25907,1927,289182225,30894085,46312,4599,4514,270,72.3,3.3,54208,4913,1472,166,23.6,2.5,11812,1000,390,101,6.2,1.6,27645,17596,722,159,11.6,2.5,8838,1038,171,76,2.7,1.2,1806,817,2104,250,33.7,3.8,14943,1028,21319.5,1716.3,0.119654025882443,0.000798314995937843
18,Atlanta Regional Commission,Yes,NPUY,3044,NPU,NPU Y,3575,187,619,155,17.3,4.2,378,121,10.6,3.3,679,181,19,5,495,146,13.9,4,370,125,10.4,3.5,505,156,14.1,4.3,259,116,7.2,3.2,168,79,4.7,2.2,58,41,1.6,1.2,43,32,1.2,0.9,2171,304,60.7,7.9,876,200,24.5,5.4,485,146,13.6,4,26659,1754,147647684,16000271,41304,3918,2458,212,68.8,4.7,49964,4676,1004,142,28.1,3.7,12750,1073,375,110,10.5,3,14199,3268,407,120,11.4,3.3,9088,1768,35,44,1,1.2,18,119,1098,174,30.7,4.6,11505,800,21235.3,7172.5,0.133556685168047,0.000829253465758464
19,Atlanta Regional Commission,Yes,NPUT,3040,NPU,NPU T,5792,215,956,163,16.5,2.7,568,127,9.8,2.2,850,162,14.7,2.7,677,156,11.7,2.7,719,150,12.4,2.5,906,178,15.6,3,584,146,10.1,2.5,352,94,6.1,1.6,68,37,1.2,0.6,113,54,1.9,0.9,3051,305,52.7,4.9,1625,232,28.1,3.9,1004,178,17.3,3,32475,2463,269929607,20706261,46604,3126,4245,239,73.3,3.1,52375,3788,1622,176,28,2.9,12128,872,641,114,11.1,1.9,19769,4896,550,137,9.5,2.3,9593,1568,124,65,2.1,1.1,1201,850,1698,210,29.3,3.5,19040,1051,16656.7,860.3,0.129296876416975,0.00068966161679919
20,Atlanta Regional Commission,Yes,NPUS,3039,NPU,NPU S,4067,185,698,175,17.2,4.2,309,110,7.6,2.7,636,136,15.6,3.3,545,141,13.4,3.4,629,167,15.5,4,581,159,14.3,3.9,242,89,6,2.2,302,108,7.4,2.6,66,43,1.6,1.1,58,60,1.4,1.5,2188,285,53.8,6.6,1210,231,29.7,5.5,610,147,15,3.5,32016,2421,182871319,21309388,44968,4825,2819,208,69.3,4,45862,6105,1590,172,39.1,3.8,15204,704,744,135,18.3,3.2,21026,5137,538,138,13.2,3.3,9513,2858,94,50,2.3,1.2,2765,2403,1370,205,33.7,4.8,11669,939,18623.7,1725.2,0.180235818740073,0.000978693848768524
21,Atlanta Regional Commission,Yes,NPUX,3043,NPU,NPU X,5058,242,871,179,17.2,3.4,534,150,10.6,2.9,815,171,16.1,3.3,686,168,13.6,3.3,665,181,13.1,3.5,600,157,11.9,3.1,416,157,8.2,3.1,317,108,6.3,2.1,82,55,1.6,1.1,74,74,1.5,1.5,2905,334,57.4,6,1264,240,25,4.6,814,199,16.1,3.9,28661,1769,267631240,90899254,52917,17794,3409,268,67.4,4.2,66516,26009,1512,175,29.9,3.2,12800,575,615,119,12.2,2.3,17024,3214,679,156,13.4,3,7903,827,215,85,4.2,1.7,1912,602,1607,213,31.8,3.9,12986,881,22842.3,6810.3,0.210068768950577,0.00109765736185966
22,Atlanta Regional Commission,Yes,NPUR,3038,NPU,NPU R,7579,293,1367,278,18,3.6,1140,282,15,3.7,1429,255,18.9,3.3,1219,285,16.1,3.7,762,198,10,2.6,745,190,9.8,2.5,358,124,4.7,1.6,394,159,5.2,2.1,94,50,1.2,0.7,72,45,1,0.6,5155,550,68,6.8,1506,275,19.9,3.5,846,208,11.2,2.7,23944,1256,286142054,26930416,37753,3238,4835,334,63.8,3.7,39364,3964,2816,318,37.2,3.9,14171,366,1425,205,18.8,2.6,21583,2778,869,218,11.5,2.8,9353,1374,319,130,4.2,1.7,2051,911,3140,317,41.4,3.9,19276,1405,16582.3,1143.9,0.252901713982082,0.0013563437771966
23,Atlanta Regional Commission,Yes,NPUP,3036,NPU,NPU P,8507,361,543,187,6.4,2.2,745,288,8.8,3.4,833,269,9.8,3.1,1026,325,12.1,3.8,1776,458,20.9,5.3,1310,301,15.4,3.5,936,243,11,2.8,908,274,10.7,3.2,153,87,1.8,1,277,132,3.3,1.5,3147,544,37,6.2,3086,548,36.3,6.3,1997,377,23.5,4.3,45236,1547,537187288,54831350,63146,5863,5916,481,69.5,4.8,65641,7401,2984,385,35.1,4.3,15382,1675,2199,388,25.8,4.4,27342,5657,750,258,8.8,3,9606,1131,373,235,4.4,2.8,1619,557,1966,387,23.1,4.4,21293,1446,27721.7,1829,0.247213673455854,0.00230742599197948
24,Atlanta Regional Commission,Yes,NPUQ,3037,NPU,NPU Q,1010,123,75,63,7.4,6.2,47,62,4.6,6.1,51,64,5.1,6.3,88,87,8.7,8.6,192,129,19,12.5,227,131,22.5,12.7,110,90,10.9,8.8,118,100,11.7,9.8,39,46,3.9,4.5,64,61,6.3,6,261,140,25.8,13.5,419,184,41.5,17.5,267,142,26.4,13.7,56569,7279,81601632,24423059,80754,22072,799,136,79.1,9.4,81888,27002,297,101,29.4,9.4,16797,4079,234,86,23.1,8,30681,11958,54,71,5.3,7,10005,3131,13,25,1.3,2.5,1059,2361,154,108,15.3,10.5,2868,476,30886.5,6554,0.120850648435217,0.000261861045618557
25,Atlanta Regional Commission,Yes,NPUZ,3045,NPU,NPU Z,6963,262,1290,237,18.5,3.3,624,178,9,2.5,1465,257,21,3.6,786,200,11.3,2.8,1130,238,16.2,3.4,882,226,12.7,3.2,303,126,4.4,1.8,391,128,5.6,1.8,39,46,0.6,0.7,54,54,0.8,0.8,4165,441,59.8,5.9,2011,328,28.9,4.6,733,185,10.5,2.6,26430,2101,264368828,24104596,37969,3153,4911,295,70.5,3.3,40996,3965,2231,228,32,3,13283,740,991,176,14.2,2.5,16248,2072,882,194,12.7,2.7,8059,957,303,130,4.4,1.9,2833,1520,2771,327,39.8,4.4,20676,1405,14599.7,801.2,0.236477483752294,0.00263875058430693
